order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD059205,ID0591358996,2019-01-23 00:00:00,Thompson,"[('Lucent 330S', 1), ('Universe Note', 2)]",8130,98.05,-37.8225695,144.95274519999995,10,7415.05,Summer,True,1.2094,love my upgraded i love all the accessories that came with the phone. the picture quality is great. it's not too big or too small. great tools for everyday use and some fancy extra's. the battery life is exceptional as well,True
ORD156079,ID0060096724,2019-11-07 00:00:00,Bakers,"[('Olivia x460', 2), ('iStream', 2)]",2750,80.36,-37.8186253,144.98592030000003,10,2555.36,Spring,False,1.2622,nan,False
ORD073371,ID6206878685,2019-01-14 00:00:00,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 2)]",6820,81.29,-37.824845,144.9576466,15,5878.29,Summer,True,1.2569,confuse. so far unable to get it to recognize sim card from olivia universe sky j series! don't know why. maybe tracfone can figure it out.,False
ORD284913,ID0332544910,2019-10-31 00:00:00,Thompson,"[('Universe Note', 2), ('Olivia x460', 1), ('Candle Inferno', 1)]",8555,82.87,-37.8099503,144.95043619999996,25,6499.12,Spring,False,0.4238,"junk. i've had the note 5 for about a year now and it was great for the first couple of months, eventually it stopped holding a charge and now it actually loses power while charging. i've tried multiple cables, clearing cache, factory reset, etc. all to no avail. never again olivia.",True
ORD067290,ID0283334278,2019-04-02 00:00:00,Thompson,"[('Thunder line', 1), ('Universe Note', 1), ('iAssist Line', 2)]",10080,68.21,-37.8005656,144.9528142,0,10148.21,Autumn,False,1.4394,five stars excellent device after using it for one month,True
ORD342568,ID4520380521,2019-09-28 00:00:00,Bakers,"[('Alcon 10', 2), ('iStream', 1)]",18050,102.5,-37.8116934,144.95657340000002,25,13640.0,Spring,True,3.4051,three stars ok,True
ORD110948,ID6167254921,2019-12-12 00:00:00,Nickolson,"[('Olivia x460', 2), ('Thunder line', 1)]",4630,67.31,-37.81833029999999,144.96485239999996,15,4002.81,Summer,False,0.4142,great price for a great phone bought this for my wife 2 years ago she still uses it for everything it’s like her own little laptop she does everything with it,True
ORD427292,ID0577457184,2019-10-23 00:00:00,Nickolson,"[('iStream', 1), ('Thunder line', 2), ('Universe Note', 1)]",7960,102.99,-37.8204834,144.9811666,5,7664.99,Spring,True,1.0428,it works well everything works great. great camera. weak speakers,True
ORD087126,ID1668523284,2019-08-13 00:00:00,Nickolson,"[('Universe Note', 1), ('Candle Inferno', 2)]",4310,75.79,-37.8213397,144.96243,25,3308.29,Winter,True,0.6967,ok ok,True
ORD403075,ID4633638464,2019-03-03 00:00:00,Thompson,"[('iStream', 2), ('Toshika 750', 2)]",8940,64.65,-37.8061875,144.9443483,15,7663.65,Autumn,False,0.7606,"came with no accessories it looks new and is working, but did not come with anything except the phone, not the key to put in a sim card, cord or charger. wish i had known that so could have ordered them at the same time and not had to wait to use it.",True
