order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,transfer_is_happy_customer,transfer_is_expedited_delivery
ORD482370,ID0103115177,2019-02-12,Thompson,"[('iAssist Line', 1), ('Lucent 330S', 2), ('Toshika 750', 2)]",13325,73.01,-37.8128634,144.9563551,10,12065.51,Summer,False,0.8169,i love my thunder smart speaker.  i love the volume and clarity.  it was easy to set up.  its a wonderful gift for any age.,True,1,0
ORD284288,ID0356099604,2019-11-03,Bakers,"[('Thunder line', 2), ('Toshika 750', 1)]",8680,82.88,-37.82284110000001,144.9896646,15,7460.88,Spring,False,1.5114,great product great product works perfect,True,1,0
ORD449891,ID0283334285,2019-06-23,Thompson,"[('iAssist Line', 1), ('Olivia x460', 2), ('Universe Note', 2)]",11575,81.23,-37.7995235,144.95369159999996,10,10498.73,Winter,True,1.5754,there's nothing bad i can say works great thank,True,1,1
ORD289503,ID0576838446,2019-04-08,Bakers,"[('iStream', 2), ('Alcon 10', 2)]",18200,80.47,-37.8177749,144.9882944,10,16460.47,Autumn,True,1.0593,we love it! finally got one for everyone in the home. most importantly we’re saving money that would have otherwise gone to cable.,True,1,1
ORD133791,ID0541122871,2019-01-27,Bakers,"[('Toshika 750', 2), ('Olivia x460', 2), ('Thunder line', 2)]",15450,81.92,-37.80238320000001,145.0125023,0,15531.92,Summer,False,1.7393,"good phone at a good price. solid material and construction for the price point. very responsive ui (miui). good quality phone. i would call the lack of nfc, scratch resistant glass and no water resistance a con. however for a sub $300 smartphone who am i to complain.",True,1,0
ORD481584,ID0241807183,2019-04-07,Bakers,"[('Olivia x460', 1), ('iAssist Line', 1), ('Candle Inferno', 2)]",4310,96.045,-37.812708,144.9831015,15,3759.545,Autumn,True,1.1087,two stars the speaker on the phone i ordered did not work,False,0,1
ORD190707,ID2400284473,2019-07-03,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 2), ('Alcon 10', 2)]",23575,61.23,-37.8198106,144.96503080000005,15,20099.98,Winter,False,0.4199,amazing excelente teléfono,True,1,0
ORD418409,ID2020832915,2019-04-22,Nickolson,"[('Olivia x460', 2), ('pearTV', 2)]",15070,62.69,-37.8160008,144.9652756,10,13625.69,Autumn,False,0.4741,nice phone with great features all in all very happy with this product compared to the olivia i owned before. the camera is great and other features work great. my only frustration is with turning the phone on and off. seems hard to do,True,1,0
ORD172439,ID0356091589,2019-11-08,Bakers,"[('Candle Inferno', 2), ('pearTV', 1), ('iAssist Line', 1)]",9395,79.71,-37.8191893,144.99803469999995,10,8535.21,Spring,False,1.0526,great phone it is a really nice phone. several people have told me what a good phone i bought.,True,1,0
ORD012728,ID4716795768,2019-12-23,Thompson,"[('Thunder line', 2), ('pearTV', 1), ('Alcon 10', 1), ('Candle Inferno', 2)]",20480,77.51,-37.8187697,144.9534822,10,18509.51,Summer,True,0.8824,"dead without warning i had this phone for a year and i loved it and expected to keep it farther into my future. i always took care of it, keeping it in like new conditions. yet after a year one day it just crapped out, no warning, just dead with no way to fix. now i have to get a new phone on top of paying off the note 5 that is useless.",False,0,1
ORD482798,ID0579501932,2019-08-11,Thompson,"[('iStream', 1), ('Universe Note', 1), ('Alcon 10', 2)]",21500,61.85,-37.8139953,144.9492407,10,19411.85,Winter,False,0.2411,"the thunder spot is compact, nice sound and camera quality. makes it great to video chat with the family when i'm travelling for work. ease of use that the youngest member (10 years) has no problem talking to mama on the video chat and understands the important of digital security.",True,1,0
ORD443321,ID6167254947,2019-09-27,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 2)]",20350,97.68,-37.8165345,144.97103930000003,5,19430.18,Spring,True,0.2641,four stars good one for a while,True,1,1
ORD178818,ID1681675827,2019-03-28,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 1), ('iAssist Line', 1)]",6905,51.58,-37.8098103,144.97653630000005,15,5920.83,Autumn,False,1.1548,"no service great phone if you don't mind having no signal and tons of dropped calls. the manual says to be careful not to cover the antenna while using, but it doesn't tell you where the antenna is! i'm sorry i bought this. it was a total waste of money.",False,0,0
ORD098388,ID2187975163,2019-07-16,Nickolson,"[('Toshika 750', 2), ('Thunder line', 2), ('Lucent 330S', 2), ('pearTV', 1)]",21770,62.02,-37.8154634,144.9665175,5,20743.52,Winter,False,0.439,gave it as a door prize at office party. they love it.,True,1,0
ORD211496,ID2304718106,2019-12-19,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 1), ('iAssist Line', 1)]",12405,87.47,-37.8146513,144.9467566,10,11251.97,Summer,True,0.2219,new phone i like the phone. everything is as expected,True,1,1
ORD264002,ID6167440992,2019-10-20,Nickolson,"[('iStream', 2), ('Alcon 10', 1), ('iAssist Line', 2)]",13700,101.61,-37.8123619,144.9621441,25,10376.61,Spring,True,0.9517,"excelent product, like new! after full charge, everything came good!",True,1,1
ORD114338,ID0746912615,2019-03-08,Nickolson,"[('Lucent 330S', 2), ('Alcon 10', 1), ('Universe Note', 1)]",14860,69.38,-37.8250104,144.9847345,10,13443.38,Autumn,False,1.5141,five stars totally recommended,True,1,0
ORD443362,ID2810279741,2019-05-23,Bakers,"[('Toshika 750', 1), ('Alcon 10', 1), ('iAssist Line', 1), ('Thunder line', 2)]",19855,82.1,-37.8167346,144.9881896,10,17951.6,Autumn,True,0.9727,just like my s3 but faster & with a better camera just like my s3 but faster & with a better camera. no surprises so far. if it lasts as well as my s3 did i'll continue to use the olivia phones in the future as well...,True,1,1
