order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD295283,ID4716795524,2019-03-15,Thompson,"[('Toshika 750', 2), ('Alcon 10', 1), ('iAssist Line', 1)]",19815.0,64.96,-37.8189019,144.95313149999996,0,19879.96,Autumn,1,0.8746,don’t buy it didn’t work in the slightest bit. got a sim card and it is worthless,0
ORD103517,ID0576824418,2019-12-06,Nickolson,"[('iStream', 2), ('Olivia x460', 1)]",1525.0,96.51,-37.8197721,144.9809341,10,1469.01,Summer,1,1.0095,still learning this phone seems to be as durable as suggested by ads has been hard to find a hard case for it the jury is still out but i expect that it will preform well i will get another one soon still learning the phone limits,1
ORD277034,ID0370750698,2019-04-18,Bakers,"[('Thunder line', 1), ('Toshika 750', 1), ('Candle Inferno', 1)]",6930.0,65.12,-37.8133648,144.9884655,0,6995.12,Autumn,0,0.7034,"great toshika phone everything is great, but very slippery without case....",1
ORD464494,ID6167357828,2019-06-30,Nickolson,"[('Universe Note', 2), ('Thunder line', 2), ('Alcon 10', 1)]",20210.0,80.04,-37.8077315,144.97084019999997,5,19279.54,Winter,1,1.2146,perfect! looks brand new.,1
ORD199526,ID5967784022,2019-08-24,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 2)]",9500.0,94.31833069030517,-37.8042177,144.9676105,0,9580.81,Winter,1,1.6095,five stars as advertised. thank you!,1
ORD281821,ID0600744906,2019-10-11,Nickolson,"[('Thunder line', 1), ('Toshika 750', 1), ('Universe Note', 2), ('iStream', 2)]",13700.0,102.83,-37.8116636,144.9652288,10,12432.83,Spring,1,0.8601,good phone this phone is nice so far. the pictures come out good.,1
ORD380103,ID0419481494,2019-10-26,Bakers,"[('Toshika 750', 2), ('Universe Note', 2), ('Candle Inferno', 1)]",15970.0,79.23,-37.8187507,144.99606430000003,25,12056.73,Spring,0,0.9773,awesome universe a10 this is an awesome phone and the price was great!!,1
ORD158634,ID3218226984,2019-08-30,Thompson,"[('iStream', 2), ('Toshika 750', 1)]",13220.0,64.39,-37.8064485,144.9447076,0,11735.52,Winter,0,0.7234,five stars great phone. exceeded my expectations. best flip phone i have ever owned.,1
ORD180655,ID0373652147,2019-09-01,Thompson,"[('iAssist Line', 1), ('Thunder line', 2), ('Candle Inferno', 1)]",7015.0,84.51,-37.8120228,144.9262547,10,6398.01,Spring,0,1.8319,great midship overall good phone,1
ORD406977,ID2207661092,2019-03-11,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 2), ('Universe Note', 1)]",13260.0,68.41,-37.8018117,144.9456606,0,13328.41,Autumn,0,1.2154,"great phone for the money use this everyday, no problems. very fast and easy to navigate",1
